sector_id,sector_name,subsector_id,subsector_name,description
S01,국토,S01-01,도시·주거,"도시공간, 주거지역, 건축물, 생활권 공간과 관련된 리스크"
S01,국토,S01-02,기반시설,"도로, 철도, 교량, 공공시설 등 기반시설 관련 리스크"
S01,국토,S01-03,토지이용,"개발지, 시가화지역, 토지이용 변화와 관련된 리스크"
S02,연안,S02-01,연안침수,"해수면 상승, 폭풍해일, 연안 저지대 침수 관련 리스크"
S02,연안,S02-02,연안침식,"해안선 후퇴, 해안 침식, 사빈 감소 관련 리스크"
S02,연안,S02-03,항만·어촌,"항만시설, 어촌지역, 연안 생활권 관련 리스크"
S03,물관리,S03-01,치수,"홍수, 도시침수, 하천범람, 내수침수 등 물 피해 관련 리스크"
S03,물관리,S03-02,이수,"가뭄, 물 부족, 용수공급, 수자원 확보 관련 리스크"
S03,물관리,S03-03,수질,"수온 상승, 오염물질 확산, 수질 악화 관련 리스크"
S04,생태계/산림,S04-01,산림,"산림재해, 산림병해충, 산림생산성, 산림생태계 관련 리스크"
S04,생태계/산림,S04-02,생태계,"생물다양성, 서식지, 생태축, 생태계 교란 관련 리스크"
S04,생태계/산림,S04-03,농업생태,"농경지 주변 생태환경, 생물서식 기반 변화 관련 리스크"
S05,건강,S05-01,감염병,"수인성 매개질환, 곤충·설치류 매개질환 등 감염병 관련 리스크"
S05,건강,S05-02,건강질환,"폭염, 한파, 대기오염, 기상재해로 인한 건강 피해 관련 리스크"
S05,건강,S05-03,취약계층 건강,"고령자, 어린이, 야외근로자 등 취약계층 건강 관련 리스크"
S06,산업 및 에너지,S06-01,산업,"산업시설, 생산활동, 공급망, 사업장 운영 관련 리스크"
S06,산업 및 에너지,S06-02,에너지,"전력수요, 냉난방 수요, 에너지 공급 안정성 관련 리스크"
S06,산업 및 에너지,S06-03,관광·서비스,"관광, 여가, 지역서비스 산업 관련 리스크"
