indicator_id,indicator_name,period,year_or_window,scenario,preferred_source,agency,dataset_name,variable,unit,spatial_resolution,temporal_resolution,coverage_years,access_method,api_key_required,source_url,processing_required,conversion_to_100m,resampling_method,availability,limitation,alternative_source,verification_status,existing_asset
H01,평균기온,recent_observed,2021|2022|2023|2024|2025,OBSERVED,KMA high-resolution gridded observation,Korea Meteorological Administration,고해상도 격자자료 500m,ta_avg,degC,500m source grid,yearly statistic,1997-present,KMA API Hub annual NetCDF download,YES; API utilization approval confirmed 2026-08-07,https://apihub.kma.go.kr/apiList.do?seqApi=971,연평균 NetCDF의 좌표·단위·결측값 검증,Reproject to EPSG:5179 and align to KOR_100M_EPSG5179_V1; do not claim new spatial detail,bilinear,TEST_REGRID_COMPLETE_FULL_PENDING,2023 Seoul test window regridded successfully; full-country output and 2021-2022/2024-2025 downloads remain,KMA ASOS+AWS 일자료와 지형 공변량 기반 공간모형,API_AUTHORIZED; HTTP_200; 2023_NETCDF_VALIDATED; GRID_500M_LCC; SCALE_0.1C; FILL_-9990; EPSG5179_100M_TEST_OK,raw 2023 NetCDF; 2023 Seoul 100m test GeoTIFF
H02,평균최고기온,recent_observed,2021|2022|2023|2024|2025,OBSERVED,KMA high-resolution gridded observation,Korea Meteorological Administration,고해상도 격자자료 500m,ta,degC,500m source grid,5-minute source; daily/yearly derived,1997-present,KMA API Hub 5-minute NetCDF/binary download,YES; API utilization approval confirmed 2026-08-07,https://apihub.kma.go.kr/apiList.do?seqApi=971,500m 5분 기온을 일 최고기온으로 집계한 뒤 연평균,Reproject to EPSG:5179 and align to KOR_100M_EPSG5179_V1; do not claim new spatial detail,bilinear,VOLUME_TEST_REQUIRED,Nationwide 5-minute data-volume and API call-limit test required; authorization confirmed 2026-08-07,KMA ASOS+AWS 일 최고기온과 지형 공변량 기반 공간모형,API_AUTHORIZED; NATIONAL_5MIN_VOLUME_NOT_TESTED,NONE
H03,평균최저기온,recent_observed,2021|2022|2023|2024|2025,OBSERVED,KMA high-resolution gridded observation,Korea Meteorological Administration,고해상도 격자자료 500m,ta,degC,500m source grid,5-minute source; daily/yearly derived,1997-present,KMA API Hub 5-minute NetCDF/binary download,YES; API utilization approval confirmed 2026-08-07,https://apihub.kma.go.kr/apiList.do?seqApi=971,500m 5분 기온을 일 최저기온으로 집계한 뒤 연평균,Reproject to EPSG:5179 and align to KOR_100M_EPSG5179_V1; do not claim new spatial detail,bilinear,VOLUME_TEST_REQUIRED,Nationwide 5-minute data-volume and API call-limit test required; authorization confirmed 2026-08-07,KMA ASOS+AWS 일 최저기온과 지형 공변량 기반 공간모형,API_AUTHORIZED; NATIONAL_5MIN_VOLUME_NOT_TESTED,NONE
H04,폭염일수,recent_observed,2021|2022|2023|2024|2025,OBSERVED,KMA high-resolution gridded observation,Korea Meteorological Administration,고해상도 격자자료 500m,ta,days/year,500m source grid,5-minute source; daily/yearly derived,1997-present,KMA API Hub 5-minute NetCDF/binary download,YES; API utilization approval confirmed 2026-08-07,https://apihub.kma.go.kr/apiList.do?seqApi=971,일 최고기온 33℃ 이상인 날을 연도별 계수,Reproject to EPSG:5179 and align to KOR_100M_EPSG5179_V1; do not claim new spatial detail,nearest,VOLUME_TEST_REQUIRED,Nationwide 5-minute data-volume and API call-limit test required; authorization confirmed 2026-08-07,KMA ASOS+AWS 일 최고기온에서 산출 후 공간모형,API_AUTHORIZED; NATIONAL_5MIN_VOLUME_NOT_TESTED; EXISTING_ASOS_TEST_ASSET_AVAILABLE,national ASOS 2021-2025 station-year test data
H05,열대야일수,recent_observed,2021|2022|2023|2024|2025,OBSERVED,KMA high-resolution gridded observation,Korea Meteorological Administration,고해상도 격자자료 500m,ta,days/year,500m source grid,5-minute source; daily/yearly derived,1997-present,KMA API Hub 5-minute NetCDF/binary download,YES; API utilization approval confirmed 2026-08-07,https://apihub.kma.go.kr/apiList.do?seqApi=971,일 최저기온 25℃ 이상인 날을 연도별 계수,Reproject to EPSG:5179 and align to KOR_100M_EPSG5179_V1; do not claim new spatial detail,nearest,VOLUME_TEST_REQUIRED,Nationwide 5-minute data-volume and API call-limit test required; authorization confirmed 2026-08-07,KMA ASOS+AWS 일 최저기온에서 산출 후 공간모형,API_AUTHORIZED; NATIONAL_5MIN_VOLUME_NOT_TESTED; EXISTING_ASOS_TEST_ASSET_AVAILABLE,national ASOS 2021-2025 station-year test data
H06,온난일 계속기간,recent_observed,2021|2022|2023|2024|2025,OBSERVED,KMA high-resolution gridded observation,Korea Meteorological Administration,고해상도 격자자료 500m,ta,days/year,500m source grid,5-minute source; daily/yearly derived,1997-present,KMA API Hub 5-minute NetCDF/binary download,YES; API utilization approval confirmed 2026-08-07,https://apihub.kma.go.kr/apiList.do?seqApi=971,기준기간 일별 90퍼센타일 초과가 6일 이상 지속된 구간의 총 일수 산출,Reproject to EPSG:5179 and align to KOR_100M_EPSG5179_V1; do not claim new spatial detail,nearest,TEST_ONLY_UNTIL_BASELINE_CONFIRMED,Nationwide 5-minute data-volume and API call-limit test required; authorization confirmed 2026-08-07,기존 ASOS 2021~2025 자체 기준 결과는 test_only로만 사용,API_AUTHORIZED; NATIONAL_5MIN_VOLUME_NOT_TESTED; OFFICIAL_BASELINE_NOT_CONFIRMED,national ASOS 2021-2025 station-year test data
H07,일최고기온 연최대,recent_observed,2021|2022|2023|2024|2025,OBSERVED,KMA high-resolution gridded observation,Korea Meteorological Administration,고해상도 격자자료 500m,ta,degC,500m source grid,5-minute source; daily/yearly derived,1997-present,KMA API Hub 5-minute NetCDF/binary download,YES; API utilization approval confirmed 2026-08-07,https://apihub.kma.go.kr/apiList.do?seqApi=971,일 최고기온 중 연도별 최대값 산출,Reproject to EPSG:5179 and align to KOR_100M_EPSG5179_V1; do not claim new spatial detail,bilinear,VOLUME_TEST_REQUIRED,Nationwide 5-minute data-volume and API call-limit test required; authorization confirmed 2026-08-07,KMA ASOS+AWS 일 최고기온에서 산출 후 공간모형,API_AUTHORIZED; NATIONAL_5MIN_VOLUME_NOT_TESTED,NONE
H08,온난일,recent_observed,2021|2022|2023|2024|2025,OBSERVED,KMA high-resolution gridded observation,Korea Meteorological Administration,고해상도 격자자료 500m,ta,days/year,500m source grid,5-minute source; daily/yearly derived,1997-present,KMA API Hub 5-minute NetCDF/binary download,YES; API utilization approval confirmed 2026-08-07,https://apihub.kma.go.kr/apiList.do?seqApi=971,기준기간 일별 90퍼센타일을 초과한 날의 연중 일수 산출,Reproject to EPSG:5179 and align to KOR_100M_EPSG5179_V1; do not claim new spatial detail,nearest,TEST_ONLY_UNTIL_BASELINE_CONFIRMED,Nationwide 5-minute data-volume and API call-limit test required; authorization confirmed 2026-08-07,공식 기준기간 확정 전에는 생산하지 않고 시험 산출만 허용,API_AUTHORIZED; NATIONAL_5MIN_VOLUME_NOT_TESTED; OFFICIAL_BASELINE_NOT_CONFIRMED,NONE
H09,최대온난일 계속기간,recent_observed,2021|2022|2023|2024|2025,OBSERVED,KMA high-resolution gridded observation,Korea Meteorological Administration,고해상도 격자자료 500m,ta,days/year,500m source grid,5-minute source; daily/yearly derived,1997-present,KMA API Hub 5-minute NetCDF/binary download,YES; API utilization approval confirmed 2026-08-07,https://apihub.kma.go.kr/apiList.do?seqApi=971,기준기간 일별 90퍼센타일 초과의 연중 최대 지속일수 산출,Reproject to EPSG:5179 and align to KOR_100M_EPSG5179_V1; do not claim new spatial detail,nearest,TEST_ONLY_UNTIL_BASELINE_CONFIRMED,Nationwide 5-minute data-volume and API call-limit test required; authorization confirmed 2026-08-07,기존 ASOS 2021~2025 자체 기준 결과는 test_only로만 사용,API_AUTHORIZED; NATIONAL_5MIN_VOLUME_NOT_TESTED; OFFICIAL_BASELINE_NOT_CONFIRMED,national ASOS 2021-2025 station-year test data
H10,여름철 지표면온도 P90,recent_observed,2021|2022|2023|2024|2025,OBSERVED,Landsat 8/9 Collection 2 Level-2 Surface Temperature,USGS via Google Earth Engine,LANDSAT/LC08/C02/T1_L2 + LANDSAT/LC09/C02/T1_L2,ST_B10; QA_PIXEL; QA_RADSAT,degC,30m product grid; TIRS thermal native 100m,scene observations; annual Jun-Sep P90 derived,Landsat 8 2013-present; Landsat 9 2021-present,Google Earth Engine Python API and Drive export,Earth Engine OAuth; credential present,https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LC09_C02_T1_L2,Cloud/cloud-shadow/saturation mask; scale DN*0.00341802+149K; convert to degC; annual Jun-Sep P90; valid-observation QA,Align to KOR_100M_EPSG5179_V1; verify existing export aggregation and rerun with explicit area aggregation if required,area mean recommended; existing method requires QA,EXISTING_NEEDS_QA,Clear-sky satellite LST is not air temperature; cloud gaps and emissivity dependence remain,Rerun existing Earth Engine workflow with explicit reduceResolution(mean) and observation-count band,FIVE_LOCAL_FILES_COMPLETE; CRS_SIZE_TRANSFORM_NODATA_ALIGNED,kor_lst_summer_p90_2021..2025_100m_epsg5179.tif
